Token IDs,x,y
reTokenEnergy,275.182,1007.22
reTokenSupply,373.811,961.906
reTokenProduction,365.814,777.976
nkTokenClimateEngineering,483.103,666.019
nkTokenCarbon,605.723,690.01
nkTokenNanoRacer,680.361,703.338
nkTokenGraphen,749.668,724.663
nkTokenEngineeredFood,632.379,626.034
nkTokenVoteA/B/C,747.002,642.028
nkTokenCreations,778.99,679.347
eeTokenNuclearFusion,802.981,620.703
eeTokenSolarSpace,816.309,532.737
eeTokenNuclearEnergy,768.327,444.77
eeTokenVoteA/B/C,720.347,354.138
suTokenSmartDistricts,861.625,487.421
suTokenFutureShopping,986.911,482.089
suTokenVirtualProduction,1005.57,332.813
suTokenVoteA/B/C,1032.23,268.837
mmTokenVoteA/B/C,1077.54,300.825
mmTokenMediRobots,1053.60,399.454
mmTokenWorkplace,1053.45,498.083
mmTokenCyborgs,1165.51,599.378
mmTokenBci,1240.15,506.08
gtTokenGenetics1,1194.83,660.688
gtTokenGenetics2,1256.14,626.034
gtTokenGenetics3,1314.79,580.718
gtTokenGenetics4,1373.43,548.73
gtTokenGenetics0,1285.46,711.335
gtTokenGeneticsDetails,1376.1,706.004
gtTokenVoteA/B/C,1509.38,674.016
klTokenProductionCircles,1634.66,855.28
klTokenProducts,1791.99,889.934
klTokenMaterials,1770.61,1028.60
klTokenVoteA/B/C,1911.89,1028.40
nlTokenNewMedicine,2037.18,1111.18
nlTokenBioinspiration,2098.49,1180.49
nlTokenInsects,2186.45,1289.78
nlTokenOrganisms,2143.8,1340.43
nlTokenVoteA/B/C,2181.12,1436.39
neTokenVoteA/B/C,1613.34,1241.8
neTokenEnergySystems,1610.67,1500.37
knTokenVoteA/B/C,1767.95,1668.3
knTokenWaterInCities,1701.3,1777.59
knTokenGreenCity,1610.67,1868.23
knTokenFarming,1791.84,1878.98
knTokenConstruction,1954.54,1830.91
gaTokenFutureMachine,1478.33,1645.22
zwTokenSlowMovement,715.50,1290.00
zwTokenVoteA/B/C,555.00,1245.00
